af363c8|2026-06-28|docs(chase): split gjc upstream dev backlog
393a623|2026-06-28|docs(chase): split gjc telegram notification gaps
a5c7c5c|2026-06-27|docs(chase): normalize 20.008 header glyph to ✅ _fin (index card)
94912bb|2026-06-27|docs(chase): retire 10.002 to _fin (C4 auth split-decision, security-audited)
417cc49|2026-06-27|docs(chase): WP14 plan — 10.002 ai auth scoped split-decision (no migration)
dd5d7b0|2026-06-27|fix(tmux): use exact-option target form in readProfileForExactTarget
cdfccc9|2026-06-27|docs(chase): retire 10.007 to _fin (team self-heal + =NAME: form fix, tested)
7cc3f31|2026-06-27|feat(team): self-heal untagged tmux leader; fix exact-option target form (chase 10.007)
18c60f4|2026-06-27|docs(chase): WP13 plan — 10.007 team @gjc-profile self-heal (gjc adapt)
b3fa775|2026-06-27|docs(chase): retire 20.006 to _fin (TUI input micro-fixes, tested)
a291199|2026-06-27|feat(input): clear typed draft on Esc; collapse ast-edit status pattern (chase 20.006)
97f768c|2026-06-27|docs(chase): WP12 plan — 20.006 TUI input micro-fixes (esc+ast)
e1e701d|2026-06-27|docs(chase): retire 10.021 to _fin, split live-artifact engine to 10.027
cdee4f7|2026-06-27|feat(goal): reject inline-only evidence for live surfaces (chase 10.021)
7923be3|2026-06-27|docs(chase): retire 10.012 to _fin (goal steering port, tested)
0974e20|2026-06-27|feat(goal): port gjc steering subsystem to native goal engine (chase 10.012)
f411e98|2026-06-27|docs(chase): WP10 plan — 10.012 goal steering subsystem port
c9797e5|2026-06-27|docs(chase): retire 20.005 to _fin (stranded steer drain, tested)
055aee8|2026-06-27|fix(session): drain stranded steer/follow-up at settle (chase 20.005)
eb9d267|2026-06-27|docs(chase): WP9 plan — 20.005 settle-time stranded queue drain
7c94022|2026-06-27|docs(chase): retire 10.023 to _fin (omp 0.5.1 pre-prompt maintenance, tested)
e80075b|2026-06-27|fix(compaction): count custom messages + feed pre-prompt check (chase 10.023)
b53ac54|2026-06-27|docs(chase): WP8 plan — 10.023 pre-prompt maintenance (custom msg counting)
f53f285|2026-06-27|fix(deps): catalog @jawcode-dev/natives 1.0.2 -> workspace:* (unblock tests)
1919185|2026-06-27|docs(chase): per-card deferral evidence for remaining 7 (investigated)
96aae8c|2026-06-27|docs(chase): retire 10.003 cursor to _fin (timeout fix adopted)
